"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T130217110000",1.5,1,24
"T130217120000",2,1.5,24
"T130217130000",3,2.5,24
"T130217140000",2.5,2.5,24
"T130217150000",2,2,24
"T130217160000",2,1.5,24
"T130217170000",2,2,22
"T130217180000",2,1.5,22
"T130217190000",2,1.5,22
"T130217200000",1.5,1.5,22
"T130217210000",1.5,1,22
"T130217220000",1,1,22
"T130217230000",1,0.5,22
"T140217000000",1,0.5,22
"T140217010000",1,0.5,22
"T140217020000",1,0.5,22
"T140217030000",0.5,0.5,22
"T140217040000",0.5,0,22
"T140217050000",0.5,0,22
"T140217060000",0,-0.5,22
"T140217070000",0,-0.5,22
"T140217080000",0,0,24
"T140217090000",0.5,0.5,24
"T140217100000",2,2,24
"T140217110000",4.5,3.5,24
"T140217120000",3.5,3,24
"T140217130000",4.5,4,24
"T140217140000",6,5.5,24
"T140217150000",7,6.5,24
"T140217160000",6.5,6.5,24
"T140217170000",5.5,5.5,22
"T140217180000",3.5,3,22
"T140217190000",2,2,22
"T140217200000",1.5,1,22
"T140217210000",0.5,0.5,22
"T140217220000",0,-0.5,22
"T140217230000",-0.5,-0.5,22
"T150217000000",-1,-1,22
"T150217010000",-1.5,-1.5,22
"T150217020000",-1.5,-2,22
"T150217030000",-2,-2,22
"T150217040000",-2,-2.5,22
"T150217050000",-2.5,-2.5,22
"T150217060000",-2.5,-2.5,22
"T150217070000",-2.5,-2.5,22
"T150217080000",-0.5,-0.5,24
"T150217090000",0,-0.5,24
"T150217100000",0.5,0,24
"T150217110000",7,3.5,24
"T150217120000",5.5,5,24
"T150217130000",8.5,8,24
"T150217140000",10.5,10.5,24
"T150217150000",12,11.5,24
"T150217160000",12.5,12,24
"T150217170000",9.5,9,22
"T150217180000",6,5.5,22
"T150217190000",4,4,22
"T150217200000",3,3,22
"T150217210000",2.5,2.5,22
"T150217220000",2,1.5,22
"T150217230000",1,1,22
"T160217000000",0.5,0.5,22
"T160217010000",0,0,22
"T160217020000",-0.5,-0.5,22
"T160217030000",-0.5,-0.5,22
"T160217040000",-1,-1,22
"T160217050000",-1,-1.5,22
"T160217060000",-1.5,-1.5,22
"T160217070000",-1.5,-1.5,22
"T160217080000",-1,-1.5,22
"T160217090000",3,2,22
"T160217100000",5.5,5,22
"T160217110000",13,8.5,22
"T160217120000",9.5,9,22
"T160217130000",11.5,11.5,22
"T160217140000",13,12.5,22
"T160217150000",14,14,22
"T160217160000",14,13.5,22
"T160217170000",11,11,22
"T160217180000",8,7.5,22
"T160217190000",6,6,22
"T160217200000",6,5.5,22
"T160217210000",5,5,22
"T160217220000",5.5,5.5,22
"T160217230000",5.5,5,22
"T170217000000",5.5,5,22
"T170217010000",5,5,22
"T170217020000",5,5,22
"T170217030000",5,5,22
